Res0sem_21D,Res0sem_18D,Res0sem_13C,Res0sem_09A,Res0sem_11B,Res0sem_03C,Res0sem_17C,Res0sem_03A,Res0sem_17B,Res0sem_07C,Res0sem_10B,Res0sem_13B,Res0sem_20C,Res0sem_11D,Res0sem_12C,Res0sem_20A,Res0sem_09B,Res0sem_06A,Res0sem_10C,Res0sem_16B,Res0sem_19A,Res0sem_12D,Res0sem_09C,Res0sem_10A,Res0sem_18A,Res0sem_12B,Res0sem_08A,Res0sem_04D,Res0sem_15B,Res0sem_01A,Res0sem_16C,Res0sem_21A,Res0sem_18C,Res0sem_04A,Res0sem_19B,Res0sem_19C,Res0sem_07A,Res0sem_12A,Res0sem_01D,Res0sem_07B,Res0sem_18B,Res0sem_09D,Res0sem_15C,Res0sem_21C,Res0sem_05D,Res0sem_05B,Res0sem_01C,Res0sem_14C,Res0sem_05C,Res0sem_02B,Res0sem_20D,Res0sem_08D,Res0sem_03D,Res0sem_02C,Res0sem_08B,Res0sem_01B,Res0sem_06D,Res0sem_19D,Res0sem_16D,Res0sem_20B,Res0sem_15D,Res0sem_04B,Res0sem_02A,Res0sem_06C,Res0sem_13A,Res0sem_11C,Res0sem_06B,Res0sem_03B,Res0sem_14B,Res0sem_14D,Res0sem_17A,Res0sem_08C,Res0sem_16A,Res0sem_13D,Res0sem_04C,Res0sem_02D,Res0sem_21B,Res0sem_07D,Res0sem_11A,Res0sem_15A,Res0sem_17D
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,3,0,0,0,21,0,0,5,0,0,0,1,0,0,0,0,0,0,8,0,0,0,22,1,2,0,1,0,1,0,0,12,3,0,0,1,0,0,0,1,0,64,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1
0,0,3,0,2,0,0,0,0,0,0,9,1,0,1,5,0,1,0,14,0,10,0,0,4,12,2,0,0,0,0,0,1,1,0,0,0,139,5,0,0,1,0,0,0,0,0,0,0,0,0,7,2,0,1,0,0,1,53,0,7,1,0,0,1,0,5,3,1,17,0,16,1,862,0,1,0,18,0,0,2
7,2,5,9,6,30,7,16,12,16,11,4,4,5,4,5,15,9,12,8,11,2,5,19,21,5,8,7,7,8,11,11,8,27,14,11,19,4,10,18,10,6,42,3,5,6,13,17,4,9,8,3,3,13,7,10,1,1,19,25,6,21,15,5,4,11,6,20,9,9,14,10,9,5,30,10,5,2,11,28,3
0,1,46,272,116,13,16,19,37,38,5,1,3,393,48,1,157,5,6,38,0,18,26,5,14,155,5,0,3,2,115,0,8,6,5,274,6,415,5,74,3,153,5,0,5,33,2,0,3,5,0,0,13,35,3,13,1,8,3,5,3,17,35,6,9,627,3,44,2,1,61,2,0,5,3,90,0,6,26,2,2
0,2,0,0,1,0,1,1,0,0,3,0,1,0,0,0,0,0,0,1,0,37,6,86,1,0,0,0,0,0,7,0,1,0,0,0,0,2,0,0,33,2,0,0,0,0,0,3,0,1,0,0,3,0,0,1,0,1,1,0,0,6,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
0,4,4,9,4,0,2,6,8,7,5,13,7,1,1,15,18,2,11,2,6,1,4,12,4,3,21,3,44,28,13,0,4,8,13,11,41,0,36,19,2,41,1,0,2,17,15,12,0,20,5,9,1,29,14,31,2,9,41,5,6,3,42,0,10,0,2,6,60,154,2,7,1,7,3,18,2,15,4,3,2
0,0,0,22,0,95,0,0,0,0,0,0,0,0,0,1,43,194,0,170,0,0,1,0,1,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,1,281,0,2,35,0,0,0,44,0,2,99,0,0,488,0,0,0,111,4,0,0,0,1,0,0,4,30,0
109,1,2,3,2,1,164,1,8,1,6,1,3,51,1,5,0,5,2,0,4,2,2,1,44,0,5,1,2,0,2,19,54,8,7,3,1,1,6,11,5,6,48,48,2,0,1,6,4,1,3,0,3,3,2,2,0,5,3,7,114,2,2,2,3,3,1,1,3,20,71,0,51,46,1,3,9,0,3,51,51
1,0,0,0,0,0,1,0,0,0,0,18,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0,0,0,0,0,2,30,0,0,0
0,12,0,6,12,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0,9,0,0,24,1,0,0,10,0,0,0,0,0,5,0,22,1,0,0,0,21,0,73,4,0,0,0,0,0,0,0,0,0,18,0,0,0,3,0,8,0,2,0,1,0,0,1,0,0,0,17,1,0,0,0,0,0,0,0,17,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,1,0,0,0
73,2,0,65,36,1,0,0,0,0,0,0,6,49,1,5,3,0,5,0,1,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,2,1,0,12,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,63,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,1,0,5,1,0,0,0,0,0,0,1,43,4,1,0,4,0,0,0,2,2,1,2,24,2,18,0,0,7,0,0,5,0,6,0,80,9,0,1,5,0,4,2,1,1,0,0,0,0,0,5,1,0,4,0,0,0,1,1,0,0,0,0,1,2,1,0,1,0,0,0,3,2,1,0,1,0,0,1
23,0,0,0,1,0,0,0,0,9,0,48,0,2,53,0,0,0,1,0,10,197,0,10,30,14,0,6,0,0,0,0,0,1,1,0,0,0,0,15,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,1,0,0,3,2,1,2,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,107,0,0,0,0,1,0,0,331,10,0,0
0,56,0,2,1,1,0,0,0,0,0,2,1,0,0,2,1,0,1,108,0,0,0,0,0,0,1,0,30,1,6,0,1,0,4,3,0,0,1,6,6,9,1,0,0,26,0,12,0,1,0,1,1,1,4,2,8,2,6,2,1,0,1,0,0,0,0,0,17,1,0,42,1,0,0,1,0,1,0,0,3
0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,29,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,2,0,0,9,0,0,0,0,6,0,0,0,1,3,0,0,10,0,0,0,0,0,0,1,0,0,0,1,0,2,0,3,0,11,0,0,0,1,0,2,0,1,0,0,0,1,74,0,0,1,0,0,0,8,0,0,0,0,56,1,1,0,11,0,3,26,0,0,38,0,1,0,1,0,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,2,0,1,2,0,0,0,5,0,1,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,2,0,4,0,0,0,0,1,0,0,1,0,2,0,0,1,2,17,0,5,0,6,2,1,93,0,0,0,14,0,0,0,0,0,0,0,0,0,0
101,6,27,25,950,6,4,13,11,69,219,523,48,87,2435,60,15,10,40,11,139,1718,12,302,29,2673,10,87,7,14,11,46,60,104,87,248,8,1400,126,9,78,11,163,29,13,13,11,15,6,12,301,5,11,17,28,15,5,23,3,217,169,39,19,9,82,27,14,7,11,2,267,18,7,2,64,7,57,3,43,45,2
0,0,0,2,0,0,0,1,0,0,8,0,0,0,0,0,0,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
0,40,0,1,1,0,1,1,1,1,0,0,4,0,28,2,0,1,1,1,3,4,1,1,111,2,0,2,7,0,1,0,2,0,1,0,0,0,0,1,11,0,13,0,0,0,0,82,0,0,423,0,0,1,0,1,2,1,3,1,0,1,1,0,1,11,0,0,54,24,0,2,1,1,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
0,2,0,10,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,93,0,0,0,0,19,0,0,1,0,0
1,13,3,2,3,63,1763,36,514,250,6,3,4,3,10,10,6,9,3,8,4,2,4,19,405,38,147,6,5,10,2,0,17,7,13,20,309,1,328,62,117,10,3,1,9,0,3,29,9,8,13,1185,1158,10,161,30,1,17,1,12,20,7,7,2,3,2,2,259,4,5,38,228,279,7,7,5,0,32,1,2,554
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
6,0,0,4,3,2,0,6,3,1,11,1,0,10,1,0,23,5,11,6,3,4,3,12,1,1,1,1,1,4,1,0,3,0,7,8,1,0,7,1,1,63,6,0,12,0,1,0,2,6,3,0,27,18,0,6,21,2,7,6,12,2,1,7,0,3,2,12,0,3,12,3,1,0,0,52,0,3,0,14,5
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,9,2,2,6,295,2,9,0,2,0,3,0,1,0,2,1,2,48,0,0,14,1,1,0,2,0,0,1,2,0,0,0,0,4,0,1,77,6,1,15,1,15,0,1,2,1,3,4,0,1,1,0,6,0,7,0,0,0,1,1,0,3,0,0,18,0,14,2,0,1,1,1,4,1,4,0,0,29,3,0
0,0,0,0,9,10,15,0,7,5,0,0,0,2,0,5,2,0,0,0,10,9,1,0,0,0,0,36,12,0,18,5,1,5,20,63,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,8,2,0,8,3,0,3,7,0,0,1,7,0,0,5,2,0,0,0,0,5,0,48,2,3,4,0,0,51,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,44,0,0,0,1,0,0,0
0,0,46,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
0,13,1,3,6,7,435,0,243,189,3,4,11,4,1,11,498,19,3,2,15,2,3,5,17,1,12,1,18,7,6,0,97,2,13,16,473,3,2,315,30,0,5,0,3,3,1,3,2,1,16,4,2,13,7,35,2,14,224,6,10,0,4,2,4,7,2,59,3,13,56,7,548,2,76,3,0,5,0,5,192
0,29,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1,0,21,0,1,0,2,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,0
0,1,0,0,0,3,0,1,0,3,0,0,0,0,0,3,1,1,2,0,3,678,0,1,0,1,1,3,1,1,49,0,1,0,1,5,0,0,2,3,0,0,0,0,10,29,2,4,1,1,5,65,88,1,5,4,2,15,2,0,0,0,1,0,3,0,0,9,3,1081,0,0,275,0,0,254,0,3,0,0,30
0,4,0,1,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,3,10,0,6,1,1,2,0,0,2,2,1,3,4,2,8,1,0,0,15,0,0,0,8,2,2,6,9,0,7,0,0,0,0,2,3,0,3,0,3,1,0,0,0,0,3,1,3,7,4,0,1,9,1,12,0,2,2,1,1,0,4,2,4,0,0,7,0,2,0,9,20,0,0,1,4,1
0,0,1,0,22,1,4,0,4,0,0,1,0,0,13,0,21,10,2,0,2,1,5,7,0,1,0,6,5,0,13,0,1,1,0,2,0,1,0,0,0,0,9,0,0,1,0,1,0,0,0,0,0,1,0,3,13,0,0,0,56,0,7,2,0,0,0,4,0,0,1,14,0,0,1,0,0,0,1,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,12,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10,59,17,2,2,1,0,14,0,3,1,69,0,1,0,3,0,2,0,0,1,102,0,2,1,25,0,60,0,0,0,115,1,0,12,3,0,39,0,0,33,0,0,0,0,0,1,0,0,1,0,0,0,13,0,0,0,6,0,25,0,3,9,0,3,1,0,7,0,2,0,0,14,60,5,8,1,7,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
0,1,0,1,0,0,0,44,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,5,0,34,0,1,1,4,0,0,0,0,0,0,0,1,31,20,0,0,1,0,0,1,0,1,27,0,0,0,25,13,1,0,0,0,0,6,16,0,0,6,18,0,1,0,5,0,0,0,0,0,0,0,24,2
25,0,62,40,1,0,0,0,5,1,19,31,11,3,215,12,0,4,0,0,0,125,0,7,0,76,0,9,1,0,111,0,5,0,0,3,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,14,1,104,0,31,17,0,4,1,0,1,50,2,0,1,42,0,1,0,0,0,1
0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,648,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,25,0,0,0,9,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,46,0,40,0,2,1,0,0,0,0,0,0,0,0,0,0,42,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,2,0,0,0,0,0,0
0,1,32,0,28,6,1,0,0,14,20,1,0,181,4,0,0,3,9,1,0,0,0,6,0,4,0,0,0,0,0,0,1,0,1,1,1,0,3,1,1,8,0,0,4,1,0,1,0,0,0,3,3,0,0,0,0,2,4,2,0,3,0,0,1,7,30,0,3,11,0,6,0,230,0,5,0,5,2,0,2
0,0,0,0,0,0,0,7,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,9,0,6,1,51,1,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,300,0,168,0,0,1
0,4,6,0,0,0,2,1,5,2,62,91,34,22,0,13,1,87,63,6,2,1,1,26,4,5,0,0,29,0,3,0,7,0,1,2,1,3,0,17,3,1,0,0,3,3,0,19,1,1,258,0,1,1,0,3,6,1,4,49,4,2,1,5,2,0,1,0,85,207,2,0,3,203,0,3,0,1,1,8,2
2,0,11,17,4556,263,296,89,121,606,86,24,446,47,58,116,49,36,300,61,39,1,13,41,492,406,94,1,698,12,30,2015,304,8176,115,65,452,79,1,1267,193,0,681,111,3,31,14,153,12,63,3,1,4,54,82,147,2,1,0,12108,0,109,50,35,14,378,25,157,212,0,22,46,151,0,83,1,85,15,92,50,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,178,1,51,1,2,1,2,13,3,3,26,5,58,5,5,1,2,8,51,0,3,51,0,198,0,1,29,2,9,97,1,2,48,67,11,2,2,11,3,0,1,0,4,1,0,5,2,1,356,1,0,2,1,0,1,1,2,23,1,7,1,1,1,9,0,1,6,12,2,2,106,26,30,2,0,13,7,33,1
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,42,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,12,0,3,16,2,24,25,0,7,1,0,23,2,92,0,0,0,0,0,6,55,1,0,0,178,25,71,1,20,0,1,0,20,45,10,2,0,0,107,52,0,0,0,3,0,1,1,0,7,0,29,4,19,29,51,13,37,10,32,0,2,21,2,120,0,1,8,107,107,0,15,33,0,25,0,0,400,2,78,62
0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,8,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,0,7,0,0,0,0,1,3
0,75,0,1,6,0,0,0,1,0,1,0,0,0,0,0,0,7,41,2,0,0,0,0,1,1,0,0,2,0,2,0,0,3,0,0,0,0,2,0,72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,8,6,0,0,0,100,1,1,1,0,0,0,1,5,0,3,0,0,1,0,138,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,373,1,54,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,0
0,1,2,0,0,1,0,1,1,0,16,0,0,0,0,1,0,0,1,1,3,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,18,0,0,1,0,1,0,0,2,3,0,0,0,0,0,3,0,2,25,1,0,0,0,0,0,1,0,0,0,3,13,0,0,0,0,0,0,88,8
0,0,2,3,2,0,208,4,7,2,8,3,0,0,0,1,51,3,4,125,0,1,0,0,1,1,1,0,45,1,58,0,0,0,0,3,0,0,2,1,0,6,0,0,2,4,3,10,4,0,1,7,2,1,2,7,20,1,51,1,2,0,2,3,0,0,2,8,37,2,0,3,25,3,0,61,0,0,0,0,115
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,12,0,0,0,8,0,0,314,0,1,0,0,0,1,0,0,0,0,1,3,1,0,0,141,0,0,0,2,13,2,0,1,49,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,32,0,0,1,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
0,0,18,0,2,0,0,0,0,0,1,0,2,1,1,0,0,0,1,10,0,0,0,0,0,1,1,0,0,0,33,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,7,0,11
232,0,0,45,10,0,0,0,0,0,0,0,0,2,0,1,4,3,0,89,1,1,3,1,51,2,0,0,1,0,22,2,0,0,5,33,0,0,0,0,0,55,17,7,0,0,1,0,0,0,63,0,0,0,0,1,1,3,51,0,29,0,0,0,0,0,2,0,0,0,4,17,0,0,0,0,0,0,0,16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0
0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,142,0,2,0,0,188,0,0,0,0,0,2,24,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,19,0,1,0,0,0,70,0,0,2
