Res0sem_21D,Res0sem_18D,Res0sem_13C,Res0sem_09A,Res0sem_11B,Res0sem_03C,Res0sem_17C,Res0sem_03A,Res0sem_17B,Res0sem_07C,Res0sem_10B,Res0sem_13B,Res0sem_20C,Res0sem_11D,Res0sem_12C,Res0sem_20A,Res0sem_09B,Res0sem_06A,Res0sem_10C,Res0sem_16B,Res0sem_19A,Res0sem_12D,Res0sem_09C,Res0sem_10A,Res0sem_18A,Res0sem_12B,Res0sem_08A,Res0sem_04D,Res0sem_15B,Res0sem_01A,Res0sem_16C,Res0sem_21A,Res0sem_18C,Res0sem_04A,Res0sem_19B,Res0sem_19C,Res0sem_07A,Res0sem_12A,Res0sem_01D,Res0sem_07B,Res0sem_18B,Res0sem_09D,Res0sem_15C,Res0sem_21C,Res0sem_05D,Res0sem_05B,Res0sem_01C,Res0sem_14C,Res0sem_05C,Res0sem_02B,Res0sem_20D,Res0sem_08D,Res0sem_03D,Res0sem_02C,Res0sem_08B,Res0sem_01B,Res0sem_06D,Res0sem_19D,Res0sem_16D,Res0sem_20B,Res0sem_15D,Res0sem_04B,Res0sem_02A,Res0sem_06C,Res0sem_13A,Res0sem_11C,Res0sem_06B,Res0sem_03B,Res0sem_14B,Res0sem_14D,Res0sem_17A,Res0sem_08C,Res0sem_16A,Res0sem_13D,Res0sem_04C,Res0sem_02D,Res0sem_21B,Res0sem_07D,Res0sem_11A,Res0sem_15A,Res0sem_17D
3296,1695,57,1399,601,7452,35,750,108,89,157,35,1794,924,68,496,543,138,380,2468,2740,334,608,148,114,141,40,3091,549,95,1043,1537,189,1878,1979,1446,52,30,372,96,689,1448,1683,135,497,332,34,270,145,356,3070,94,2253,1821,94,1032,443,330,1976,11277,2419,1287,253,126,114,605,324,4575,177,204,2429,88,61,229,1529,2916,159,88,181,887,80
20,19,610,105,53,26,56,75,69,304,240,602,77,99,76,98,107,28,278,53,143,61,86,22,49,31,67,20,485,52,94,222,41,12,459,139,320,48,187,452,29,132,3010,49,115,95,67,65,34,14,45,31,53,16,49,41,12,199,26,168,4701,18,17,30,169,37,43,35,160,157,676,105,86,469,44,6,4,496,45,4032,114
108,27,116,13,20,15,14,15,23,463,141,40,58,76,3,37,22,25,40,21,218,4,11,26,19,10,20,44,272,11,20,3,20,26,228,39,141,3,54,80,82,26,122,6,257,110,16,46,9,24,5,47,16,22,36,25,15,38,27,40,124,41,72,32,30,19,31,52,134,258,13,20,17,305,12,12,8,844,2,149,16
207,693,6,116,32,76,62,223,121,35,24,16,42,35,16,30,131,36,62,190,15,25,33,34,395,6,21,50,475,48,451,66,65,19,24,20,96,23,99,55,89,182,87,55,140,101,11,389,18,27,19,438,151,149,52,63,113,31,265,54,45,19,200,40,20,28,30,143,351,2425,46,253,82,24,36,1134,7,152,131,228,71
4525,213,227,1273,602,135,40,187,62,246,93,420,521,203,99,136,113,77,101,48,1737,172,108,201,200,147,105,2102,55,116,55,1310,66,2360,1238,703,135,93,1135,611,202,258,533,610,242,69,93,52,45,152,1874,85,261,443,148,112,83,371,49,2478,1214,1129,180,101,150,152,190,361,59,41,401,119,47,180,2523,546,406,1473,132,1263,100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,123,5,321,172,310,20,214,26,38,855,6,78,795,29,24,189,88,1327,374,146,227,134,851,39,49,19,14,56,50,134,4,91,60,101,80,50,63,76,30,33,505,860,26,157,63,31,8,48,80,281,25,208,242,19,25,340,38,280,295,1193,26,50,43,12,419,96,167,17,8,1420,28,87,20,38,402,10,125,40,1455,46
0,0,1,2,5,10,0,1,0,8,2,2,5,0,2,1,0,43,3,1,2,0,0,1,3,1,11,0,1,5,1,0,5,8,2,0,2,1,1,39,40,0,0,0,0,95,2,5,5,21,0,0,0,411,5,10,0,0,0,3,0,1,14,12,1,0,11,3,5,0,2,15,3,0,4,0,0,0,1,1,0
0,0,10,0,0,0,0,0,0,2,0,0,7,0,10,5,0,11,0,0,0,0,0,0,0,0,0,0,34,1,3,0,0,5,0,0,15,0,1,0,0,1,2043,0,3,1,0,0,0,17,0,0,0,6,0,1,1,0,0,77,790,2,19,0,11,1,3,0,0,0,2,0,1,58,0,0,0,191,0,1663,0
1157,1795,16,51,114,340,21,16,59,23,135,86,242,129,319,270,70,42,98,63,79,88,45,359,368,59,33,160,59,26,43,909,166,190,93,56,27,343,623,38,154,155,20,249,149,99,14,128,14,38,513,54,183,547,38,57,60,51,46,490,143,274,85,35,25,95,64,194,68,717,43,45,56,58,69,970,89,333,118,20,61
495,40,2887,62,571,1,5,150,9,220,154,1227,86,52,274,110,151,4,22,831,32,66,39,14,538,86,6,37,528,1,281,205,205,205,313,63,325,122,10,104,678,66,641,269,10,101,4,506,15,18,140,7,9,53,28,8,1,1,42,215,662,308,54,18,437,177,41,7,157,0,69,19,47,422,1084,1,18,53,0,2,12
0,91,4,0,13,0,2,0,0,0,0,0,0,338,0,2,70,136,0,539,0,2,1,0,3,0,0,0,3,1,125,0,0,0,0,0,0,3,0,0,16,0,1,0,1,1,0,1,10,0,0,0,0,0,0,0,222,2,442,0,0,0,10,18,0,1030,2,0,0,1,0,14,5,1,0,0,0,4,136,1,0
2525,369,2833,5179,1393,2508,3923,8180,1878,9000,1660,1846,5306,294,610,1488,5079,533,1705,3937,3283,1089,1140,1997,8126,888,1155,3091,939,679,1818,12281,1471,7526,10556,2396,5350,1053,588,5425,3985,508,6401,2267,364,1342,552,10029,435,1202,4039,293,242,5127,1027,1328,113,303,1678,18230,1410,3842,6153,510,1729,901,533,3572,3424,1478,2487,1868,3892,1175,9744,1496,1062,826,566,1503,316
40,19,1,5,245,5,24,13,32,3,86,3,0,285,3,2,37,5,92,115,1,1,14,71,190,4,0,3,3,2,2,345,69,7,24,0,3,1,3,6,46,7,3,7,5,5,2,2,3,3,1,3,4,2,6,9,10,4,2,20,3,11,4,3,2,227,5,3,0,102,6,8,2,2,10,152,5,4,41,3,19
