S01A,S01B,S01C,S01D,S02A,S02B,S02C,S02D,S03A,S03B,S03C,S03D,S04A,S04B,S04C,S04D,S05B,S05C,S05D,S06A,S06B,S06C,S06D,S07A,S07B,S07C,S07D,S08A,S08B,S08C,S08D,S09A,S09B,S09C,S09D,S10A,S10B,S10C,S11A,S11B,S11C,S11D,S12A,S12B,S12C,S12D,S13A,S13B,S13C,S13D,S14B,S14C,S14D,S15A,S15B,S15C,S15D,S16A,S16B,S16C,S16D,S17A,S17B,S17C,S17D,S18A,S18B,S18C,S18D,S19A,S19B,S19C,S19D,S20A,S20B,S20C,S20D,S21A,S21B,S21C,S21D
3,3,68,74,8,59,63,12,9,9,34,5,35,77,75,59,43,46,34,61,71,25,29,18,41,32,27,12,9,22,21,78,75,94,125,43,38,44,5,56,57,66,13,11,30,40,24,26,25,23,7,15,11,159,90,205,173,12,108,72,71,117,21,4,2,32,93,62,126,63,98,42,45,75,102,106,56,99,129,121,82
1,0,14,29,0,26,14,23,9,9,9,16,9,24,20,7,6,10,13,6,16,10,14,1,11,15,25,6,0,19,37,13,8,10,13,20,29,18,17,19,22,33,4,20,21,33,6,3,3,4,5,9,15,19,5,27,22,10,20,3,1,28,1,0,0,14,19,23,27,9,13,11,2,16,10,12,10,12,12,31,11
0,0,10,14,3,13,14,17,7,4,2,14,31,32,24,36,1,4,15,21,13,7,8,18,17,16,7,36,20,18,32,14,19,17,31,31,40,33,3,39,32,29,33,65,58,107,40,38,47,38,15,19,27,21,20,57,34,29,14,21,17,31,16,12,12,24,42,24,39,52,61,63,34,35,20,36,57,14,28,31,14
0,0,7,6,0,6,1,0,1,1,0,0,7,7,3,10,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,16,6,6,3,5,4,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,7,1,5,21,7,14,6,6,7,4,8,2,11,5,7
0,0,2,3,0,2,3,6,0,1,0,0,3,2,4,4,1,1,3,0,1,0,1,0,7,3,1,0,2,0,0,4,1,0,1,9,7,7,0,6,3,8,1,3,2,9,10,3,4,5,0,1,1,6,3,20,11,2,3,0,1,5,0,1,0,1,14,15,21,13,7,2,5,9,7,9,21,3,2,2,2
1,4,101,102,0,84,74,112,17,46,50,61,44,120,85,102,37,36,37,30,58,33,51,27,85,74,73,20,14,20,21,41,37,26,38,177,148,148,30,115,122,168,31,57,97,124,32,30,36,36,52,47,54,64,17,73,76,46,28,23,45,103,24,14,13,18,170,90,92,88,80,116,65,90,108,114,84,87,88,120,69
0,0,19,45,0,5,14,23,0,1,0,0,13,54,42,56,2,7,0,1,26,2,0,0,39,27,19,3,1,2,2,24,1,1,8,53,48,30,2,55,48,78,8,11,25,42,7,6,12,6,0,0,0,30,1,38,46,0,2,1,0,58,0,1,0,1,50,34,51,12,26,20,9,23,33,31,16,58,62,86,51
0,0,8,10,0,0,0,0,0,0,0,0,4,13,15,20,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,8,0,0,5,0,0,3,0,1,3,4,1,2,0,0,0,0,0,0,11,5,0,0,0,0,1,0,0,0,0,16,1,1,15,28,16,18,18,19,15,6,7,11,14,26
1,3,37,21,6,51,18,22,18,33,22,11,20,51,53,31,35,20,8,20,23,35,30,17,37,29,20,10,3,13,11,26,28,19,10,29,32,23,10,52,35,25,17,22,38,20,39,57,53,33,34,50,39,58,42,90,42,16,41,21,33,45,17,4,1,25,56,34,45,93,72,72,56,45,76,102,63,64,76,68,52
0,4,20,14,5,22,20,20,9,12,11,19,4,7,5,5,13,12,21,9,3,8,20,13,14,22,12,18,18,20,23,44,10,10,15,12,10,19,16,8,11,16,4,2,9,21,11,16,26,14,35,27,34,10,11,15,11,11,14,8,33,9,22,15,16,35,2,14,31,14,5,24,27,7,5,9,16,2,6,6,1
24,19,35,17,75,58,35,27,46,21,43,12,47,57,57,54,23,45,14,23,15,21,20,13,11,20,10,50,50,28,23,73,35,43,36,13,11,18,28,31,56,12,17,8,20,26,15,18,22,1,26,21,24,42,24,65,32,19,55,42,62,84,35,12,9,38,47,44,64,44,31,63,20,18,56,57,60,29,46,69,36
11,9,1,0,12,5,1,0,0,1,1,0,1,1,4,7,2,3,3,0,1,1,0,17,2,6,0,1,14,5,2,13,9,13,8,4,4,0,0,2,4,0,0,0,0,0,12,5,6,0,1,7,2,17,16,19,8,13,14,33,17,2,14,9,6,4,6,11,5,0,6,1,1,1,3,8,13,1,2,4,1
0,0,3,0,0,0,0,1,0,0,0,0,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,3,2,0,0,0,1,0,0,0,0,0,1,1
0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,2,3,1,0,0,0
24,24,9,1,19,19,2,4,7,8,7,4,1,0,4,0,4,3,1,4,1,10,19,4,3,2,4,18,25,24,6,6,4,4,6,8,6,6,9,2,0,0,0,0,0,0,1,0,0,0,8,16,6,2,2,1,0,5,12,15,24,1,12,19,20,11,1,8,10,3,3,3,1,4,3,6,6,0,1,9,1
