"CODE","Region","Production mode","Year","Treatment","Treatment_Group","Rendement","Proteine","TGW.g.","Nombre.Plants.avg"
"BT19","Nord","Organic","2023","Enrobage champignons/bacteries","Other alternatives",37.07,10.9,47.6,48.25
"BT03","La Cote","Organic","2024","Temoin non traite","Control",37.1,8.6,38.42,37.75
"BT16","Nord","Conventional without fungicide ","2024","Tillecur","Tillecur",37.1,12.9,36.23,62.75
"BF10","Centre - Pied du Jura","Organic","2022","Vinaigre","Other alternatives",37.5,12.1,45.28,33.75
"BT11","Nord","Conventional without fungicide ","2023","Temoin non traite","Control",37.8,12.9,37.55,64
"BT19","Nord","Organic","2022","Thermoseed","ThermoSeed",37.84,9.3,42.08,77.75
"BF03","Nord","Conventional without fungicide ","2024","Temoin non traite","Control",38,13.7,36.34,56.5
"BF08","Nord","Conventional without fungicide ","2024","Temoin non traite","Control",38,9.7,44.48,39.5
"BT10","Broye","Organic","2024","Tillecur","Tillecur",38,10.9,38.17,51.75
"BT19","Nord","Organic","2022","Evonta","E-beam",38.02,9.8,42.12,82.5
"BT01","Chablais","Conventional with fungicide ","2024","Evonta","E-beam",38.29,11,30.94,43
"BT19","Nord","Organic","2022","Bacterie","Other alternatives",38.37,9.3,43.39,57.75
"BF03","Nord","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",39,13.1,36.69,56.75
"BF10","Centre - Pied du Jura","Organic","2023","Ferment measse/zeolithe","Other alternatives",39,10,48.07,49.25
"BT18","Broye","Organic","2024","Thermoseed","ThermoSeed",39,12.9,39.47,73.5
"BF09","Centre - Pied du Jura","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",39.06,12.6,38.87,42.25
