"CODE","Region","Production mode","Year","Treatment","Treatment_Group","Rendement","Proteine","TGW.g.","Nombre.Plants.avg"
"BT08","Chablais","Organic","2023","Tillecur","Tillecur",64.75,12,41.07,34.75
"BF03","Nord","Conventional without fungicide ","2022","Evonta","E-beam",64.8,12.3,41.38,70.25
"BF09","Centre - Pied du Jura","Conventional without fungicide ","2022","Conventionnel","Synthetic",64.9,11.3,46.93,45.5
"BT17","Broye","Conventional without fungicide ","2023","Thermoseed","ThermoSeed",64.92,12.9,43.24,58
"BF05","Nord","Conventional without fungicide ","2022","Tillecur","Tillecur",65,13.8,44.2,42.75
"BF08","La Cote","Conventional without fungicide ","2022","Temoin non traite","Control",65.2,12.2,44.2,50
"BT11","Nord","Conventional without fungicide ","2022","Conventionnel","Synthetic",65.3,14.4,39.09,59.75
"BT17","Broye","Conventional without fungicide ","2023","Tillecur","Tillecur",65.84,12.1,45.93,57.5
"BF03","Nord","Conventional without fungicide ","2023","Temoin non traite","Control",66,10.7,45.89,52.5
"BT04","Nord","Conventional without fungicide ","2022","Thermoseed","ThermoSeed",66,14.3,38.21,38.5
"BT18","Broye","Organic","2022","Temoin non traite","Control",66.13,10.1,42.5,47.25
"BT08","Chablais","Organic","2023","Evonta","E-beam",66.5,12.5,40.11,35
"BT02","Broye","Conventional without fungicide ","2022","Tillecur","Tillecur",66.59,12.1,37.2,42.5
"BF11","Nord","Conventional without fungicide ","2022","Tillecur","Tillecur",66.67,10.8,43.94,46.5
"BF11","Nord","Conventional without fungicide ","2023","Conventionnel","Synthetic",66.74,10.7,47.61,47.25
"BT17","Broye","Conventional without fungicide ","2023","Conventionnel","Synthetic",66.87,13.3,42.31,50.75
"BF02","Broye","Conventional without fungicide ","2023","Tillecur","Tillecur",67,12.9,46.82,47.25
"BF02","Broye","Conventional without fungicide ","2023","Temoin non traite","Control",67,13.6,45.5,53.5
"BF02","Broye","Conventional without fungicide ","2023","Thermoseed","ThermoSeed",67,14,45.01,49.5
"BT04","Nord","Conventional without fungicide ","2022","Temoin non traite","Control",67,14.5,40.87,39
"BT02","Broye","Conventional without fungicide ","2023","Tillecur","Tillecur",67.08,12.3,42.47,58.75
"BF08","La Cote","Conventional without fungicide ","2022","Thermoseed","ThermoSeed",67.15,13,42.47,51.5
"BF11","Nord","Conventional without fungicide ","2022","Conventionnel","Synthetic",67.37,10.4,43.6,43
"BT02","Broye","Conventional without fungicide ","2022","Temoin non traite","Control",67.39,12.3,36.99,41.5
"BF03","Nord","Conventional without fungicide ","2022","Conventionnel","Synthetic",67.4,11.7,41.6,67.75
"BF09","Centre - Pied du Jura","Conventional without fungicide ","2022","Temoin non traite","Control",67.5,11.3,42.14,46.25
"BT14","Centre - Pied du Jura","Conventional without fungicide ","2022","Thermoseed","ThermoSeed",67.5,12.1,45.67,33.75
"BF03","Nord","Conventional without fungicide ","2022","Tillecur","Tillecur",67.7,12.5,39.4,59.25
"BF11","Nord","Conventional without fungicide ","2022","Evonta","E-beam",67.72,11,44.1,56.5
"BT08","Chablais","Organic","2023","Temoin non traite","Control",67.75,14.2,39.67,33.25
"BF03","Nord","Conventional without fungicide ","2023","Thermoseed","ThermoSeed",68,14.1,46.35,55.5
"BT10","Broye","Organic","2023","Tillecur","Tillecur",68,10.6,49.11,37.75
"BF08","La Cote","Conventional without fungicide ","2022","Evonta","E-beam",68.15,12.5,43.02,51.75
"BT10","Broye","Organic","2022","Conventionnel","Synthetic",68.33,15.4,39.36,39
"BT12","Chablais","Organic","2022","Tillecur","Tillecur",68.45,13,41.11,38.25
"BF04","Nord","Conventional without fungicide ","2022","Conventionnel","Synthetic",68.7,12,45.86,51
"BT04","Nord","Conventional without fungicide ","2023","Evonta","E-beam",69,13.2,41.35,47.75
"BT06","La Cote","Conventional without fungicide ","2023","Temoin non traite","Control",69,11.5,48.88,65.75
"BT06","La Cote","Conventional without fungicide ","2022","Temoin non traite","Control",69,12.2,44.44,50.25
"BF08","La Cote","Conventional without fungicide ","2022","Tillecur","Tillecur",69.1,12.9,44.97,39.25
"BF11","Nord","Conventional without fungicide ","2023","Tillecur","Tillecur",69.17,10.7,48.08,45.25
"BF01","Nord","Conventional without fungicide ","2022","Conventionnel","Synthetic",69.23,11.6,43.54,54
"BT10","Broye","Organic","2022","Evonta","E-beam",69.23,14.7,35.32,57.25
"BT10","Broye","Organic","2022","Thermoseed","ThermoSeed",69.23,15.1,39.06,45.5
"BT02","Broye","Conventional without fungicide ","2022","Thermoseed","ThermoSeed",69.56,12.1,34,42.5
"BT02","Broye","Conventional without fungicide ","2023","Evonta","E-beam",69.58,13.3,42.14,59
"BF02","Broye","Conventional without fungicide ","2023","Conventionnel","Synthetic",70,12.9,46.76,52
"BF02","Broye","Conventional without fungicide ","2023","Evonta","E-beam",70,13.2,45.66,53.25
"BF03","Nord","Conventional without fungicide ","2023","Evonta","E-beam",70,12.4,44.5,52.25
"BT02","Broye","Conventional without fungicide ","2023","Conventionnel","Synthetic",70,12.3,43.02,62.75
"BT04","Nord","Conventional without fungicide ","2023","Conventionnel","Synthetic",70,13.5,41.79,48
"BT10","Broye","Organic","2022","Temoin non traite","Control",70,14.7,38.06,52.75
"BT14","Centre - Pied du Jura","Conventional without fungicide ","2022","Conventionnel","Synthetic",70,13,44.55,47.75
"BF09","Centre - Pied du Jura","Conventional without fungicide ","2022","Thermoseed","ThermoSeed",70.1,11,46.14,42.5
"BF09","Centre - Pied du Jura","Conventional without fungicide ","2022","Tillecur","Tillecur",70.1,11.1,46.43,42.75
"BF04","Nord","Conventional without fungicide ","2022","Tillecur","Tillecur",70.13,11.2,45.24,54.5
"BT14","Centre - Pied du Jura","Conventional without fungicide ","2022","Temoin non traite","Control",70.3,12.2,44.61,40
"BT10","Broye","Organic","2023","Temoin non traite","Control",70.5,11.1,46.6,53.25
