"","otu_diversity","otu_richness","otu_evenness","date","traitement","management","habitat","code"
"Res0sem_02B",31.4650680232647,240.186,0.131032841697718,"15.11.2022","ThermoSeed","conventional","rhizosphere","BF04"
"Res0sem_20D",12.5162196093117,97.45,0.128685309729627,"01.12.2022",NA,"conventional","soil","BT04"
"Res0sem_08D",36.9874962087599,185.516,0.199517998328927,"17.11.2022",NA,"conventional","soil","BF03"
"Res0sem_03D",15.3809644667652,178.34,0.086328624548665,"15.11.2022",NA,"conventional","soil","BF11"
"Res0sem_02C",31.3645557125322,215.836,0.145410992791077,"15.11.2022","control","conventional","rhizosphere","BF04"
"Res0sem_08B",41.5999613832875,237.28,0.175398950071823,"17.11.2022","ThermoSeed","conventional","rhizosphere","BF03"
"Res0sem_01B",25.8819639685346,197.872,0.130907087956363,"15.11.2022","ThermoSeed","conventional","rhizosphere","BF01"
"Res0sem_06D",25.7929037116837,162.37,0.159070357287704,"15.11.2022",NA,"conventional","soil","BT15"
"Res0sem_19D",58.6668319708922,282.904,0.207419974158896,"24.11.2022",NA,"organic","soil","BF07"
"Res0sem_16D",25.4290571656589,173.632,0.146564494914965,"23.11.2022",NA,"conventional","soil","BT16"
"Res0sem_20B",15.5382999169819,151.048,0.102962163466583,"01.12.2022","ThermoSeed","conventional","rhizosphere","BT04"
"Res0sem_15D",69.5354112695172,230.502,0.301764153143855,"23.11.2022",NA,"conventional","soil","BT17"
"Res0sem_04B",28.855890947286,197.854,0.145939231079633,"15.11.2022","ThermoSeed","conventional","rhizosphere","BT11"
"Res0sem_02A",21.1949313203605,183.424,0.115679262973234,"15.11.2022","synthetic","conventional","rhizosphere","BF04"
"Res0sem_06C",46.7481269937025,255.218,0.183200660493176,"15.11.2022","control","conventional","rhizosphere","BT15"
"Res0sem_13A",37.9699132494439,217.948,0.174301850669977,"23.11.2022","synthetic","conventional","rhizosphere","BT07"
"Res0sem_11C",33.4270220887061,188.326,0.177644839552725,"17.11.2022","control","conventional","rhizosphere","BT06"
"Res0sem_06B",45.0581193389785,257.638,0.174964808082945,"15.11.2022","ThermoSeed","conventional","rhizosphere","BT15"
"Res0sem_03B",23.9508594484845,179.586,0.133478126347705,"15.11.2022","ThermoSeed","conventional","rhizosphere","BF11"
"Res0sem_14B",42.0486370521995,189.326,0.22225758762914,"23.11.2022","ThermoSeed","organic","rhizosphere","BF10"
"Res0sem_14D",48.0921584306678,189.986,0.253265889956142,"23.11.2022",NA,"organic","soil","BF10"
"Res0sem_17A",44.9423119331765,213.592,0.210522939493923,"24.11.2022","synthetic","conventional","rhizosphere","BF09"
"Res0sem_08C",33.0266296949233,200.744,0.164648569147255,"17.11.2022","control","conventional","rhizosphere","BF03"
"Res0sem_16A",47.8674266137678,192.76,0.248488927800498,"23.11.2022","synthetic","conventional","rhizosphere","BT16"
"Res0sem_13D",54.3972376320387,201.39,0.270297814123398,"23.11.2022",NA,"conventional","soil","BT07"
"Res0sem_04C",19.6194819948127,166.262,0.118131758170292,"15.11.2022","control","conventional","rhizosphere","BT11"
"Res0sem_02D",22.943848315866,175.188,0.131079140559449,"15.11.2022",NA,"conventional","soil","BF04"
"Res0sem_21B",30.6056409880409,156.426,0.195665048869887,"02.12.2022","ThermoSeed","conventional","rhizosphere","BF08"
"Res0sem_07D",52.9791034231579,220.996,0.239842270485683,"17.11.2022",NA,"conventional","soil","BF02"
"Res0sem_11A",37.2993072547833,195.822,0.190625381261482,"17.11.2022","synthetic","conventional","rhizosphere","BT06"
"Res0sem_15A",31.8073766926386,211.962,0.150152969490271,"23.11.2022","synthetic","conventional","rhizosphere","BT17"
"Res0sem_17D",35.7594780767611,233.2,0.153437744080594,"24.11.2022",NA,"conventional","soil","BF09"
