"","otu_diversity","otu_richness","otu_evenness","date","traitement","management","habitat","code"
"S16D",749.783325958644,1761.606,0.425630880047373,"23.11.2022",NA,"conventional","soil","BT16"
"S17A",746.482088711013,1730.758,0.431309781007836,"24.11.2022","synthetic","conventional","rhizosphere","BF09"
"S17B",655.789267666345,1684.488,0.389317973908189,"24.11.2022","ThermoSeed","conventional","rhizosphere","BF09"
"S17C",472.30813218831,1515.158,0.31172618094403,"24.11.2022","control","conventional","rhizosphere","BF09"
"S17D",546.00277941814,1454.02,0.375520467289751,"24.11.2022",NA,"conventional","soil","BF09"
"S18A",628.661724194415,1727.266,0.36396831963109,"24.11.2022","Tillecur","organic","rhizosphere","BT18"
"S18B",733.248164102981,1760.032,0.416614676239468,"24.11.2022","ThermoSeed","organic","rhizosphere","BT18"
"S18C",821.217703602508,1905.71,0.430929118689902,"24.11.2022","control","organic","rhizosphere","BT18"
"S18D",914.530484224006,1941.008,0.471168222017878,"24.11.2022",NA,"organic","soil","BT18"
"S19A",646.594464083462,1569.39,0.41201550514511,"24.11.2022","Tillecur","organic","rhizosphere","BF07"
"S19B",648.672763176887,1582.714,0.409860182425723,"24.11.2022","ThermoSeed","organic","rhizosphere","BF07"
"S19C",706.35114151684,1670.104,0.422945074992734,"24.11.2022","control","organic","rhizosphere","BF07"
"S19D",760.886795225044,1708.714,0.445308037118898,"24.11.2022",NA,"organic","soil","BF07"
"S20A",760.389034779164,1791.116,0.424537579767128,"01.12.2022","synthetic","conventional","rhizosphere","BT04"
"S20B",670.638292591606,1710.134,0.392159117081682,"01.12.2022","ThermoSeed","conventional","rhizosphere","BT04"
"S20C",778.001381797611,1845.962,0.42146730650147,"01.12.2022","control","conventional","rhizosphere","BT04"
"S20D",874.874660565646,1848.804,0.473221035810454,"01.12.2022",NA,"conventional","soil","BT04"
"S21A",568.283379881853,1582.836,0.359034121224782,"02.12.2022","synthetic","conventional","rhizosphere","BF08"
"S21B",606.655675599993,1593.48,0.380721618559442,"02.12.2022","ThermoSeed","conventional","rhizosphere","BF08"
"S21C",678.804802788119,1622.086,0.418488316972379,"02.12.2022","control","conventional","rhizosphere","BF08"
"S21D",748.127621669803,1673.976,0.44692562435187,"02.12.2022",NA,"conventional","soil","BF08"
