"","R2.adj","Df","AIC","F","Pr(>F)"
"+ pH",0.194537522036106,1,66.6598926770772,5.83045523182856,0.001
"+ clay",0.235711100674651,1,66.4225950478781,2.02356320342081,0.036
"+ sand",0.271038528877562,1,66.2284437932081,1.87232828186833,0.049
"<All variables>",0.315609411292989,NA,NA,NA,NA
