"","R2.adj","Df","AIC","F","Pr(>F)"
"+ sand",0.0407074398452082,1,76.9725600726242,1.84869708232987,0.003
"+ clay",0.0889457144182342,1,76.7536825778885,2.00600725049242,0.001
"+ Corg",0.119308039961355,1,76.8415699639564,1.62055961059542,0.043
"+ pH",0.159106085935013,1,76.5973623523963,1.80458042356563,0.001
"<All variables>",0.195000703202465,NA,NA,NA,NA
